order_id,customer_id,order_date
O0001,C076,2025-03-13
O0002,C084,2025-05-27
O0003,C055,2025-02-25
O0004,C064,2025-03-15
O0005,C003,2025-06-04
O0006,C033,2025-06-12
O0007,C026,2025-06-09
O0008,C004,2025-03-09
O0009,C016,2025-05-16
O0010,C011,2025-01-21
O0011,C080,2025-01-26
O0012,C096,2025-02-09
O0013,C043,2025-02-19
O0014,C092,2025-03-06
O0015,C076,2025-04-05
O0016,C046,2025-05-28
O0017,C033,2025-05-23
O0018,C086,2025-06-21
O0019,C029,2025-04-19
O0020,C023,2025-03-12
O0021,C044,2025-01-01
O0022,C020,2025-05-06
O0023,C085,2025-03-10
O0024,C008,2025-04-20
O0025,C025,2025-01-06
O0026,C066,2025-05-18
O0027,C017,2025-04-30
O0028,C095,2025-04-02
O0029,C014,2025-06-09
O0030,C067,2025-03-13
O0031,C083,2025-02-17
O0032,C066,2025-04-06
O0033,C097,2025-05-30
O0034,C021,2025-04-21
O0035,C040,2025-03-24
O0036,C096,2025-04-12
O0037,C098,2025-01-18
O0038,C072,2025-04-10
O0039,C035,2025-03-22
O0040,C050,2025-05-05
O0041,C075,2025-03-30
O0042,C052,2025-02-04
O0043,C072,2025-06-18
O0044,C006,2025-01-15
O0045,C039,2025-05-13
O0046,C076,2025-04-10
O0047,C067,2025-01-09
O0048,C004,2025-01-16
O0049,C043,2025-02-16
O0050,C006,2025-04-20
O0051,C001,2025-04-06
O0052,C031,2025-03-16
O0053,C045,2025-04-22
O0054,C094,2025-05-02
O0055,C088,2025-01-20
O0056,C020,2025-04-16
O0057,C002,2025-06-20
O0058,C072,2025-05-24
O0059,C009,2025-02-18
O0060,C090,2025-01-10
O0061,C012,2025-01-10
O0062,C043,2025-06-04
O0063,C075,2025-02-26
O0064,C028,2025-02-08
O0065,C043,2025-04-15
O0066,C057,2025-04-02
O0067,C060,2025-04-09
O0068,C043,2025-01-13
O0069,C016,2025-03-03
O0070,C040,2025-01-03
O0071,C077,2025-05-27
O0072,C023,2025-03-17
O0073,C035,2025-02-05
O0074,C039,2025-03-01
O0075,C088,2025-03-20
O0076,C024,2025-04-10
O0077,C008,2025-06-20
O0078,C085,2025-04-17
O0079,C099,2025-02-02
O0080,C025,2025-04-25
O0081,C089,2025-04-06
O0082,C072,2025-01-05
O0083,C089,2025-04-19
O0084,C060,2025-04-29
O0085,C057,2025-01-19
O0086,C077,2025-05-15
O0087,C054,2025-01-14
O0088,C015,2025-03-03
O0089,C032,2025-05-20
O0090,C007,2025-03-01
O0091,C047,2025-02-21
O0092,C002,2025-04-01
O0093,C053,2025-05-21
O0094,C078,2025-05-11
O0095,C100,2025-05-16
O0096,C079,2025-05-29
O0097,C037,2025-06-29
O0098,C071,2025-05-10
O0099,C012,2025-04-22
O0100,C099,2025-02-24
O0101,C082,2025-03-21
O0102,C065,2025-01-19
O0103,C013,2025-03-15
O0104,C081,2025-05-28
O0105,C033,2025-02-24
O0106,C027,2025-06-21
O0107,C064,2025-03-20
O0108,C014,2025-05-12
O0109,C028,2025-03-24
O0110,C068,2025-06-14
O0111,C029,2025-01-31
O0112,C074,2025-05-10
O0113,C011,2025-03-16
O0114,C018,2025-04-15
O0115,C053,2025-04-09
O0116,C053,2025-03-14
O0117,C005,2025-05-10
O0118,C049,2025-02-02
O0119,C044,2025-03-15
O0120,C037,2025-03-03
O0121,C058,2025-04-13
O0122,C024,2025-04-03
O0123,C029,2025-06-28
O0124,C086,2025-03-29
O0125,C093,2025-06-29
O0126,C029,2025-03-12
O0127,C074,2025-04-03
O0128,C034,2025-01-16
O0129,C082,2025-01-23
O0130,C021,2025-05-17
O0131,C002,2025-03-09
O0132,C043,2025-01-26
O0133,C005,2025-02-17
O0134,C090,2025-02-07
O0135,C004,2025-04-16
O0136,C052,2025-05-01
O0137,C071,2025-01-24
O0138,C089,2025-02-27
O0139,C033,2025-06-03
O0140,C039,2025-06-24
O0141,C061,2025-05-01
O0142,C081,2025-06-17
O0143,C075,2025-03-16
O0144,C025,2025-05-23
O0145,C049,2025-01-25
O0146,C008,2025-04-23
O0147,C028,2025-01-20
O0148,C078,2025-03-31
O0149,C067,2025-05-24
O0150,C078,2025-05-21
O0151,C071,2025-02-16
O0152,C089,2025-06-26
O0153,C047,2025-02-03
O0154,C073,2025-01-31
O0155,C029,2025-05-07
O0156,C067,2025-03-11
O0157,C032,2025-04-29
O0158,C083,2025-06-09
O0159,C045,2025-04-23
O0160,C086,2025-03-18
O0161,C068,2025-05-14
O0162,C025,2025-05-28
O0163,C076,2025-06-20
O0164,C038,2025-03-30
O0165,C037,2025-03-31
O0166,C055,2025-03-02
O0167,C007,2025-06-27
O0168,C084,2025-05-08
O0169,C099,2025-05-01
O0170,C068,2025-05-27
O0171,C017,2025-05-23
O0172,C023,2025-02-17
O0173,C023,2025-03-10
O0174,C081,2025-02-12
O0175,C047,2025-05-31
O0176,C037,2025-03-20
O0177,C072,2025-04-14
O0178,C005,2025-05-30
O0179,C014,2025-05-30
O0180,C055,2025-02-20
O0181,C012,2025-01-28
O0182,C079,2025-04-29
O0183,C031,2025-03-06
O0184,C026,2025-05-01
O0185,C059,2025-03-06
O0186,C033,2025-06-15
O0187,C035,2025-02-22
O0188,C050,2025-01-31
O0189,C096,2025-05-08
O0190,C053,2025-05-25
O0191,C075,2025-04-01
O0192,C077,2025-05-12
O0193,C078,2025-02-23
O0194,C049,2025-01-23
O0195,C012,2025-06-20
O0196,C030,2025-01-25
O0197,C086,2025-03-23
O0198,C038,2025-06-28
O0199,C095,2025-03-03
O0200,C038,2025-01-21
O0201,C077,2025-05-12
O0202,C001,2025-04-24
O0203,C089,2025-06-23
O0204,C048,2025-01-15
O0205,C035,2025-04-11
O0206,C088,2025-02-04
O0207,C044,2025-01-16
O0208,C070,2025-04-11
O0209,C004,2025-03-31
O0210,C087,2025-02-23
O0211,C076,2025-05-01
O0212,C031,2025-03-18
O0213,C040,2025-05-03
O0214,C097,2025-01-26
O0215,C073,2025-02-14
O0216,C001,2025-01-19
O0217,C059,2025-01-28
O0218,C081,2025-06-13
O0219,C028,2025-02-02
O0220,C063,2025-01-17
O0221,C061,2025-01-14
O0222,C038,2025-06-27
O0223,C086,2025-02-23
O0224,C006,2025-04-18
O0225,C044,2025-04-16
O0226,C067,2025-02-15
O0227,C037,2025-06-28
O0228,C052,2025-05-08
O0229,C060,2025-06-21
O0230,C015,2025-01-20
O0231,C080,2025-01-22
O0232,C093,2025-03-12
O0233,C058,2025-03-23
O0234,C076,2025-03-23
O0235,C005,2025-05-23
O0236,C093,2025-05-15
O0237,C022,2025-01-20
O0238,C092,2025-03-21
O0239,C023,2025-03-16
O0240,C021,2025-02-25
O0241,C062,2025-03-22
O0242,C010,2025-03-05
O0243,C004,2025-06-04
O0244,C048,2025-05-29
O0245,C085,2025-06-19
O0246,C072,2025-04-23
O0247,C066,2025-02-02
O0248,C098,2025-01-17
O0249,C051,2025-04-10
O0250,C077,2025-01-07
O0251,C036,2025-05-06
O0252,C025,2025-02-20
O0253,C098,2025-04-19
O0254,C043,2025-04-30
O0255,C064,2025-06-03
O0256,C090,2025-05-28
O0257,C033,2025-02-24
O0258,C070,2025-04-16
O0259,C090,2025-01-19
O0260,C054,2025-06-16
O0261,C094,2025-04-18
O0262,C061,2025-02-25
O0263,C028,2025-05-23
O0264,C070,2025-05-24
O0265,C038,2025-02-27
O0266,C018,2025-04-15
O0267,C016,2025-05-16
O0268,C036,2025-05-28
O0269,C100,2025-01-01
O0270,C013,2025-06-02
O0271,C006,2025-01-21
O0272,C061,2025-03-07
O0273,C070,2025-06-27
O0274,C092,2025-04-15
O0275,C013,2025-06-09
O0276,C052,2025-02-07
O0277,C024,2025-04-16
O0278,C080,2025-05-22
O0279,C033,2025-01-01
O0280,C030,2025-04-04
O0281,C092,2025-04-29
O0282,C089,2025-05-15
O0283,C074,2025-01-03
O0284,C014,2025-06-20
O0285,C070,2025-02-20
O0286,C057,2025-03-28
O0287,C030,2025-06-23
O0288,C080,2025-06-07
O0289,C064,2025-02-04
O0290,C012,2025-04-11
O0291,C077,2025-06-25
O0292,C066,2025-04-21
O0293,C019,2025-06-08
O0294,C063,2025-06-12
O0295,C060,2025-01-02
O0296,C052,2025-03-07
O0297,C006,2025-02-15
O0298,C046,2025-03-14
O0299,C089,2025-05-23
O0300,C079,2025-02-14
O0301,C058,2025-05-01
O0302,C017,2025-03-26
O0303,C055,2025-01-28
O0304,C096,2025-05-16
O0305,C031,2025-02-15
O0306,C069,2025-03-31
O0307,C041,2025-05-12
O0308,C029,2025-06-22
O0309,C008,2025-04-25
O0310,C049,2025-05-19
O0311,C042,2025-03-05
O0312,C059,2025-06-03
O0313,C077,2025-02-06
O0314,C054,2025-04-03
O0315,C047,2025-03-17
O0316,C004,2025-03-30
O0317,C066,2025-06-05
O0318,C010,2025-04-14
O0319,C061,2025-05-23
O0320,C060,2025-04-24
O0321,C046,2025-01-21
O0322,C005,2025-01-24
O0323,C031,2025-03-06
O0324,C094,2025-03-01
O0325,C070,2025-04-16
O0326,C084,2025-03-12
O0327,C033,2025-05-11
O0328,C056,2025-04-14
O0329,C064,2025-03-14
O0330,C019,2025-06-30
O0331,C066,2025-01-22
O0332,C059,2025-06-27
O0333,C031,2025-02-17
O0334,C079,2025-02-21
O0335,C069,2025-03-12
O0336,C044,2025-04-26
O0337,C046,2025-05-06
O0338,C064,2025-06-27
O0339,C079,2025-02-20
O0340,C050,2025-06-08
O0341,C096,2025-05-01
O0342,C034,2025-02-18
O0343,C034,2025-03-31
O0344,C095,2025-05-30
O0345,C093,2025-04-10
O0346,C081,2025-05-11
O0347,C095,2025-03-13
O0348,C089,2025-01-12
O0349,C051,2025-05-17
O0350,C076,2025-04-22
O0351,C034,2025-04-07
O0352,C092,2025-01-03
O0353,C041,2025-06-11
O0354,C003,2025-05-18
O0355,C047,2025-01-05
O0356,C096,2025-04-07
O0357,C033,2025-01-30
O0358,C085,2025-01-27
O0359,C089,2025-02-27
O0360,C060,2025-01-01
O0361,C004,2025-01-07
O0362,C094,2025-06-12
O0363,C001,2025-01-14
O0364,C022,2025-06-12
O0365,C014,2025-06-14
O0366,C036,2025-02-26
O0367,C044,2025-01-10
O0368,C097,2025-01-23
O0369,C068,2025-04-04
O0370,C040,2025-04-22
O0371,C098,2025-05-10
O0372,C033,2025-06-21
O0373,C020,2025-05-28
O0374,C057,2025-05-29
O0375,C086,2025-02-18
O0376,C084,2025-04-04
O0377,C079,2025-02-16
O0378,C024,2025-05-17
O0379,C020,2025-06-19
O0380,C060,2025-03-21
O0381,C014,2025-05-03
O0382,C040,2025-01-03
O0383,C022,2025-01-24
O0384,C039,2025-02-09
O0385,C071,2025-04-27
O0386,C083,2025-04-29
O0387,C092,2025-03-13
O0388,C010,2025-03-27
O0389,C041,2025-03-10
O0390,C095,2025-05-28
O0391,C034,2025-03-19
O0392,C070,2025-01-24
O0393,C042,2025-03-21
O0394,C050,2025-02-06
O0395,C067,2025-04-05
O0396,C057,2025-02-08
O0397,C099,2025-04-18
O0398,C053,2025-04-05
O0399,C093,2025-05-31
O0400,C014,2025-06-24
O0401,C099,2025-01-04
O0402,C007,2025-06-19
O0403,C088,2025-02-26
O0404,C079,2025-06-21
O0405,C071,2025-02-24
O0406,C064,2025-06-10
O0407,C081,2025-05-21
O0408,C041,2025-05-08
O0409,C005,2025-04-01
O0410,C034,2025-04-22
O0411,C034,2025-03-22
O0412,C027,2025-05-23
O0413,C090,2025-03-04
O0414,C037,2025-01-20
O0415,C039,2025-01-14
O0416,C002,2025-06-30
O0417,C069,2025-03-21
O0418,C086,2025-03-06
O0419,C047,2025-02-03
O0420,C020,2025-06-27
O0421,C059,2025-04-15
O0422,C006,2025-05-04
O0423,C013,2025-03-28
O0424,C003,2025-05-03
O0425,C087,2025-02-09
O0426,C047,2025-04-28
O0427,C032,2025-04-10
O0428,C097,2025-06-07
O0429,C071,2025-02-07
O0430,C018,2025-01-04
O0431,C024,2025-01-08
O0432,C026,2025-05-16
O0433,C024,2025-03-10
O0434,C100,2025-03-09
O0435,C021,2025-05-04
O0436,C086,2025-04-25
