shipment_id,order_id,status,shipped_at,delivered_at
S0001,O0001,pending,2025-04-10,
S0002,O0002,delivered,2025-06-30,2025-06-30
S0003,O0003,returned,2025-05-01,
S0004,O0004,shipped,2025-04-30,
S0005,O0005,returned,2025-06-21,
S0006,O0006,delivered,2025-04-26,2025-04-28
S0007,O0007,returned,2025-03-24,
S0008,O0008,delivered,2025-06-07,2025-06-15
S0009,O0009,pending,2025-03-19,
S0010,O0010,delivered,2025-02-13,2025-02-16
S0011,O0011,pending,2025-02-08,
S0012,O0012,delivered,2025-01-02,2025-01-12
S0013,O0013,shipped,2025-01-20,
S0014,O0014,pending,2025-01-19,
S0015,O0015,shipped,2025-06-29,
S0016,O0016,delivered,2025-06-30,2025-06-30
S0017,O0017,pending,2025-04-14,
S0018,O0018,pending,2025-02-27,
S0019,O0019,shipped,2025-06-13,
S0020,O0020,delivered,2025-01-29,2025-01-31
S0021,O0021,pending,2025-04-15,
S0022,O0022,returned,2025-05-13,
S0023,O0023,shipped,2025-01-15,
S0024,O0024,returned,2025-05-04,
S0025,O0025,shipped,2025-05-12,
S0026,O0026,shipped,2025-05-07,
S0027,O0027,returned,2025-05-12,
S0028,O0028,pending,2025-01-30,
S0029,O0029,shipped,2025-01-11,
S0030,O0030,shipped,2025-05-06,
S0031,O0031,pending,2025-04-07,
S0032,O0032,delivered,2025-03-30,2025-04-05
S0033,O0033,returned,2025-03-21,
S0034,O0034,delivered,2025-06-18,2025-06-23
S0035,O0035,shipped,2025-01-28,
S0036,O0036,returned,2025-06-19,
S0037,O0037,returned,2025-04-20,
S0038,O0038,pending,2025-05-08,
S0039,O0039,pending,2025-06-22,
S0040,O0040,shipped,2025-03-24,
S0041,O0041,delivered,2025-02-22,2025-02-23
S0042,O0042,pending,2025-01-16,
S0043,O0043,returned,2025-05-27,
S0044,O0044,pending,2025-03-31,
S0045,O0045,delivered,2025-03-30,2025-04-07
S0046,O0046,pending,2025-03-02,
S0047,O0047,delivered,2025-05-30,2025-06-05
S0048,O0048,pending,2025-05-30,
S0049,O0049,pending,2025-06-04,
S0050,O0050,shipped,2025-06-20,
S0051,O0051,returned,2025-04-18,
S0052,O0052,pending,2025-01-01,
S0053,O0053,returned,2025-02-05,
S0054,O0054,pending,2025-01-20,
S0055,O0055,shipped,2025-02-08,
S0056,O0056,pending,2025-02-02,
S0057,O0057,pending,2025-05-07,
S0058,O0058,delivered,2025-01-25,2025-02-01
S0059,O0059,pending,2025-02-14,
S0060,O0060,shipped,2025-05-25,
S0061,O0061,delivered,2025-03-09,2025-03-18
S0062,O0062,pending,2025-05-23,
S0063,O0063,pending,2025-05-20,
S0064,O0064,pending,2025-03-06,
S0065,O0065,shipped,2025-03-28,
S0066,O0066,shipped,2025-04-08,
S0067,O0067,delivered,2025-03-24,2025-03-31
S0068,O0068,shipped,2025-04-21,
S0069,O0069,shipped,2025-04-22,
S0070,O0070,delivered,2025-04-27,2025-05-01
S0071,O0071,delivered,2025-03-17,2025-03-26
S0072,O0072,shipped,2025-04-05,
S0073,O0073,pending,2025-02-21,
S0074,O0074,shipped,2025-02-16,
S0075,O0075,returned,2025-04-12,
S0076,O0076,shipped,2025-05-09,
S0077,O0077,returned,2025-03-02,
S0078,O0078,pending,2025-03-31,
S0079,O0079,returned,2025-05-24,
S0080,O0080,returned,2025-03-16,
S0081,O0081,delivered,2025-06-02,2025-06-07
S0082,O0082,delivered,2025-03-08,2025-03-09
S0083,O0083,pending,2025-02-12,
S0084,O0084,pending,2025-01-26,
S0085,O0085,pending,2025-06-25,
S0086,O0086,shipped,2025-05-26,
S0087,O0087,returned,2025-02-02,
S0088,O0088,returned,2025-04-14,
S0089,O0089,delivered,2025-05-02,2025-05-04
S0090,O0090,returned,2025-06-19,
S0091,O0091,shipped,2025-02-24,
S0092,O0092,shipped,2025-04-21,
S0093,O0093,delivered,2025-01-16,2025-01-22
S0094,O0094,delivered,2025-04-22,2025-04-28
S0095,O0095,pending,2025-06-03,
S0096,O0096,delivered,2025-03-23,2025-03-26
S0097,O0097,returned,2025-05-25,
S0098,O0098,delivered,2025-02-11,2025-02-13
S0099,O0099,pending,2025-05-12,
S0100,O0100,returned,2025-03-17,
S0101,O0101,shipped,2025-04-02,
S0102,O0102,shipped,2025-05-26,
S0103,O0103,delivered,2025-02-05,2025-02-06
S0104,O0104,returned,2025-06-14,
S0105,O0105,shipped,2025-02-12,
S0106,O0106,shipped,2025-04-01,
S0107,O0107,shipped,2025-06-03,
S0108,O0108,returned,2025-04-25,
S0109,O0109,delivered,2025-03-18,2025-03-24
S0110,O0110,shipped,2025-03-07,
S0111,O0111,delivered,2025-05-16,2025-05-25
S0112,O0112,returned,2025-06-27,
S0113,O0113,pending,2025-03-06,
S0114,O0114,delivered,2025-04-04,2025-04-11
S0115,O0115,returned,2025-05-29,
S0116,O0116,shipped,2025-04-24,
S0117,O0117,returned,2025-04-01,
S0118,O0118,shipped,2025-05-08,
S0119,O0119,delivered,2025-05-27,2025-06-01
S0120,O0120,shipped,2025-01-05,
S0121,O0121,delivered,2025-03-27,2025-03-30
S0122,O0122,pending,2025-05-31,
S0123,O0123,returned,2025-06-10,
S0124,O0124,shipped,2025-06-15,
S0125,O0125,pending,2025-05-02,
S0126,O0126,returned,2025-06-28,
S0127,O0127,shipped,2025-06-21,
S0128,O0128,pending,2025-05-10,
S0129,O0129,pending,2025-04-02,
S0130,O0130,shipped,2025-01-16,
S0131,O0131,shipped,2025-06-08,
S0132,O0132,delivered,2025-04-13,2025-04-18
S0133,O0133,returned,2025-04-14,
S0134,O0134,returned,2025-04-11,
S0135,O0135,delivered,2025-01-19,2025-01-25
S0136,O0136,shipped,2025-05-07,
S0137,O0137,delivered,2025-06-15,2025-06-24
S0138,O0138,pending,2025-06-29,
S0139,O0139,shipped,2025-05-24,
S0140,O0140,shipped,2025-04-25,
S0141,O0141,pending,2025-02-04,
S0142,O0142,shipped,2025-06-02,
S0143,O0143,delivered,2025-02-27,2025-03-03
S0144,O0144,returned,2025-03-24,
S0145,O0145,pending,2025-06-27,
S0146,O0146,pending,2025-06-12,
S0147,O0147,delivered,2025-06-05,2025-06-14
S0148,O0148,shipped,2025-05-05,
S0149,O0149,shipped,2025-03-23,
S0150,O0150,pending,2025-04-30,
S0151,O0151,pending,2025-05-01,
S0152,O0152,returned,2025-04-06,
S0153,O0153,shipped,2025-05-07,
S0154,O0154,pending,2025-06-12,
S0155,O0155,pending,2025-01-01,
S0156,O0156,returned,2025-05-20,
S0157,O0157,delivered,2025-01-24,2025-02-03
S0158,O0158,pending,2025-06-02,
S0159,O0159,delivered,2025-02-14,2025-02-20
S0160,O0160,shipped,2025-06-17,
S0161,O0161,delivered,2025-05-05,2025-05-14
S0162,O0162,delivered,2025-04-29,2025-05-09
S0163,O0163,returned,2025-02-27,
S0164,O0164,delivered,2025-05-19,2025-05-24
S0165,O0165,delivered,2025-05-31,2025-06-04
S0166,O0166,pending,2025-05-01,
S0167,O0167,shipped,2025-03-04,
S0168,O0168,pending,2025-05-12,
S0169,O0169,shipped,2025-02-26,
S0170,O0170,shipped,2025-01-01,
S0171,O0171,pending,2025-04-10,
S0172,O0172,pending,2025-01-23,
S0173,O0173,delivered,2025-01-12,2025-01-21
S0174,O0174,pending,2025-06-25,
S0175,O0175,pending,2025-05-20,
S0176,O0176,shipped,2025-01-10,
S0177,O0177,delivered,2025-01-19,2025-01-27
S0178,O0178,pending,2025-05-26,
S0179,O0179,returned,2025-06-02,
S0180,O0180,returned,2025-02-05,
S0181,O0181,shipped,2025-02-05,
S0182,O0182,shipped,2025-06-04,
S0183,O0183,pending,2025-03-30,
S0184,O0184,delivered,2025-03-08,2025-03-17
S0185,O0185,returned,2025-06-14,
S0186,O0186,returned,2025-01-27,
S0187,O0187,pending,2025-04-09,
S0188,O0188,delivered,2025-06-09,2025-06-12
S0189,O0189,pending,2025-06-26,
S0190,O0190,shipped,2025-04-20,
S0191,O0191,pending,2025-03-02,
S0192,O0192,shipped,2025-03-27,
S0193,O0193,shipped,2025-05-22,
S0194,O0194,pending,2025-03-23,
S0195,O0195,pending,2025-03-12,
S0196,O0196,shipped,2025-02-22,
S0197,O0197,returned,2025-02-15,
S0198,O0198,pending,2025-03-30,
S0199,O0199,shipped,2025-02-11,
S0200,O0200,delivered,2025-04-12,2025-04-19
S0201,O0201,shipped,2025-02-26,
S0202,O0202,pending,2025-03-09,
S0203,O0203,returned,2025-04-29,
S0204,O0204,delivered,2025-04-24,2025-04-29
S0205,O0205,delivered,2025-02-21,2025-03-02
S0206,O0206,shipped,2025-03-09,
S0207,O0207,delivered,2025-05-16,2025-05-21
S0208,O0208,delivered,2025-03-05,2025-03-13
S0209,O0209,shipped,2025-04-20,
S0210,O0210,pending,2025-03-19,
S0211,O0211,shipped,2025-06-26,
S0212,O0212,delivered,2025-03-28,2025-03-29
S0213,O0213,returned,2025-02-04,
S0214,O0214,delivered,2025-06-01,2025-06-05
S0215,O0215,returned,2025-05-27,
S0216,O0216,returned,2025-05-12,
S0217,O0217,returned,2025-04-18,
S0218,O0218,shipped,2025-03-03,
S0219,O0219,returned,2025-04-03,
S0220,O0220,delivered,2025-06-02,2025-06-12
S0221,O0221,delivered,2025-04-28,2025-05-02
S0222,O0222,delivered,2025-01-18,2025-01-21
S0223,O0223,returned,2025-03-04,
S0224,O0224,pending,2025-04-04,
S0225,O0225,shipped,2025-06-05,
S0226,O0226,delivered,2025-01-17,2025-01-21
S0227,O0227,delivered,2025-02-05,2025-02-11
S0228,O0228,delivered,2025-05-19,2025-05-25
S0229,O0229,returned,2025-01-15,
S0230,O0230,returned,2025-06-28,
S0231,O0231,shipped,2025-05-13,
S0232,O0232,shipped,2025-05-14,
S0233,O0233,shipped,2025-04-06,
S0234,O0234,shipped,2025-06-15,
S0235,O0235,returned,2025-05-02,
S0236,O0236,shipped,2025-03-23,
S0237,O0237,returned,2025-02-21,
S0238,O0238,shipped,2025-01-24,
S0239,O0239,returned,2025-03-16,
S0240,O0240,pending,2025-01-12,
S0241,O0241,pending,2025-04-18,
S0242,O0242,delivered,2025-06-27,2025-06-29
S0243,O0243,shipped,2025-01-07,
S0244,O0244,delivered,2025-02-04,2025-02-07
S0245,O0245,shipped,2025-05-22,
S0246,O0246,pending,2025-04-25,
S0247,O0247,shipped,2025-03-23,
S0248,O0248,pending,2025-06-18,
S0249,O0249,returned,2025-06-19,
S0250,O0250,pending,2025-01-20,
S0251,O0251,pending,2025-01-01,
S0252,O0252,pending,2025-01-30,
S0253,O0253,shipped,2025-03-22,
S0254,O0254,pending,2025-01-19,
S0255,O0255,shipped,2025-01-26,
S0256,O0256,shipped,2025-06-24,
S0257,O0257,pending,2025-05-17,
S0258,O0258,shipped,2025-03-09,
S0259,O0259,pending,2025-05-17,
S0260,O0260,delivered,2025-04-09,2025-04-14
S0261,O0261,pending,2025-01-23,
S0262,O0262,pending,2025-05-25,
S0263,O0263,delivered,2025-04-15,2025-04-21
S0264,O0264,pending,2025-03-30,
S0265,O0265,shipped,2025-06-16,
S0266,O0266,shipped,2025-01-25,
S0267,O0267,delivered,2025-06-18,2025-06-25
S0268,O0268,pending,2025-06-28,
S0269,O0269,pending,2025-06-29,
S0270,O0270,shipped,2025-05-10,
S0271,O0271,returned,2025-02-24,
S0272,O0272,returned,2025-01-16,
S0273,O0273,pending,2025-06-26,
S0274,O0274,pending,2025-02-09,
S0275,O0275,returned,2025-01-06,
S0276,O0276,pending,2025-06-09,
S0277,O0277,returned,2025-06-17,
S0278,O0278,delivered,2025-02-04,2025-02-09
S0279,O0279,pending,2025-05-01,
S0280,O0280,delivered,2025-02-10,2025-02-16
S0281,O0281,pending,2025-02-22,
S0282,O0282,delivered,2025-04-24,2025-04-29
S0283,O0283,returned,2025-02-15,
S0284,O0284,returned,2025-03-02,
S0285,O0285,shipped,2025-01-10,
S0286,O0286,shipped,2025-02-05,
S0287,O0287,returned,2025-05-18,
S0288,O0288,delivered,2025-05-28,2025-06-01
S0289,O0289,pending,2025-04-27,
S0290,O0290,returned,2025-04-09,
S0291,O0291,pending,2025-02-21,
S0292,O0292,delivered,2025-03-29,2025-04-07
S0293,O0293,shipped,2025-01-10,
S0294,O0294,pending,2025-01-08,
S0295,O0295,shipped,2025-03-18,
S0296,O0296,shipped,2025-06-16,
S0297,O0297,pending,2025-06-25,
S0298,O0298,pending,2025-06-29,
S0299,O0299,shipped,2025-04-21,
S0300,O0300,returned,2025-01-18,
S0301,O0301,pending,2025-01-06,
